,epoch,train_loss,val_loss
0,1,2235.8141474723816,0.0
1,2,1792.688826084137,0.0
2,3,1660.6304779052734,0.0
3,4,1527.5392088890076,0.0
4,5,1450.0111241340637,0.0
5,6,1360.9234805107117,0.0
6,7,1293.6636481285095,0.0
7,8,1250.9361186027527,0.0
8,9,1205.432424545288,0.0
9,10,1171.2196974754333,1143.7937726974487
10,11,1149.434639930725,0.0
11,12,1113.420105457306,0.0
12,13,1095.851369857788,0.0
13,14,1063.2813692092896,0.0
14,15,1044.0930347442627,0.0
15,16,1026.6580576896667,0.0
16,17,1002.1028907299042,0.0
17,18,988.065098285675,0.0
18,19,978.4445061683655,0.0
19,20,966.9630837440491,960.0201244354248
20,21,957.0597188472748,0.0
21,22,941.383308172226,0.0
22,23,930.2584955692291,0.0
23,24,911.0022776126862,0.0
24,25,904.8269536495209,0.0
25,26,894.4315738677979,0.0
26,27,892.6056325435638,0.0
27,28,877.7677125930786,0.0
28,29,866.1368539333344,0.0
29,30,863.3857662677765,856.314368724823
30,31,856.0710101127625,0.0
31,32,843.3791508674622,0.0
32,33,840.8649632930756,0.0
33,34,821.0407340526581,0.0
34,35,823.892669916153,0.0
35,36,805.9691007137299,0.0
36,37,803.001386642456,0.0
37,38,787.7785012722015,0.0
38,39,793.61661028862,0.0
39,40,779.843718290329,817.5662000179291
40,41,776.1667232513428,0.0
41,42,772.2748763561249,0.0
42,43,771.4756503105164,0.0
43,44,760.431572675705,0.0
44,45,754.5477197170258,0.0
45,46,751.1103360652924,0.0
46,47,741.7417259216309,0.0
47,48,741.1773779392242,0.0
48,49,737.2945249080658,0.0
49,50,735.2670044898987,774.545078754425
50,51,731.5938806533813,0.0
51,52,718.8105578422546,0.0
52,53,717.700165271759,0.0
53,54,718.8324596881866,0.0
54,55,709.5906703472137,0.0
55,56,708.584335565567,0.0
56,57,694.8207633495331,0.0
57,58,696.7536044120789,0.0
58,59,688.5804741382599,0.0
59,60,690.0188527107239,763.8541946411133
60,61,690.7420861721039,0.0
61,62,679.616513967514,0.0
62,63,679.7834858894348,0.0
63,64,671.1332433223724,0.0
64,65,669.9564847946167,0.0
65,66,667.901294708252,0.0
66,67,670.240464925766,0.0
67,68,658.8245553970337,0.0
68,69,658.2025353908539,0.0
69,70,660.1932759284973,764.8647463321686
70,71,649.25403881073,0.0
71,72,652.4217875003815,0.0
72,73,654.4005837440491,0.0
73,74,637.5620007514954,0.0
74,75,643.1131103038788,0.0
75,76,633.6514577865601,0.0
76,77,637.7403266429901,0.0
77,78,633.0897731781006,0.0
78,79,626.9679954051971,0.0
79,80,630.3087246417999,740.4986326694489
80,81,627.0992522239685,0.0
81,82,621.8586139678955,0.0
82,83,619.1316046714783,0.0
83,84,616.9953911304474,0.0
84,85,610.9514499902725,0.0
85,86,609.0455391407013,0.0
86,87,602.2319176197052,0.0
87,88,611.0203762054443,0.0
88,89,604.9832062721252,0.0
89,90,602.8909161090851,734.2927892208099
90,91,608.6948528289795,0.0
91,92,601.6110470294952,0.0
92,93,602.6451271772385,0.0
93,94,599.9002561569214,0.0
94,95,592.6208934783936,0.0
95,96,596.6473622322083,0.0
96,97,582.2379655838013,0.0
97,98,584.8306896686554,0.0
98,99,577.0140734910965,0.0
99,100,588.3245387077332,733.3521432876587
100,101,573.3018457889557,0.0
101,102,576.4277211427689,0.0
102,103,572.6954412460327,0.0
103,104,571.6651072502136,0.0
104,105,568.5946718454361,0.0
105,106,572.2762514352798,0.0
106,107,570.4265582561493,0.0
107,108,568.6874325275421,0.0
108,109,560.2471261024475,0.0
109,110,564.3908576965332,724.8309845924377
110,111,555.5921273231506,0.0
111,112,558.9652638435364,0.0
112,113,558.591054558754,0.0
113,114,558.4388229846954,0.0
114,115,550.330295920372,0.0
115,116,546.0104348659515,0.0
116,117,552.124875664711,0.0
117,118,543.9649504423141,0.0
118,119,542.7590090036392,0.0
119,120,546.5411347150803,724.1656613349915
120,121,506.16205954551697,0.0
121,122,495.1613997220993,0.0
122,123,483.5930527448654,0.0
123,124,483.90992403030396,0.0
124,125,477.4621995687485,0.0
125,126,476.15367925167084,0.0
126,127,479.7465832233429,0.0
127,128,476.56895196437836,0.0
128,129,476.3337604999542,0.0
129,130,471.57455694675446,690.7369413375854
130,131,472.7840453386307,0.0
131,132,472.5880197286606,0.0
132,133,476.7411779165268,0.0
133,134,469.8645478487015,0.0
134,135,470.80622124671936,0.0
135,136,469.31780111789703,0.0
